Person,Supervisor,Type
Hannah Bruce Macdonald,Jonathan Essex,PhD
Hannah Bruce Macdonald,John Chodera,postdoc
John Chodera,Ken Dill,PhD
John Chodera,Vijay Pande,postdoc
Jonathan Essex,Graham Richards,PhD
Jonathan Essex,William Jorgensen,postdoc
Julien Michel,Jonathan Essex,PhD
Julien Michel,William Jorgensen,postdoc
Michael Shirts,Vijay Pande,PhD
Michael Shirts,Richard Friesner,postdoc
David Mobley,Daniel L Cox,PhD
David Mobley,Rajiv Singh,PhD
David Mobley,Ken Dill,postdoc
Syma Khalid,Mark Rodger,PhD
Syma Khalid,Mark Sansom,postdoc
Richard Henchman,Jonathan Essex,PhD
Richard Henchman,Andrew McCammon,postdoc
Lucy Forrest,Mark Sansom,PhD
Lucy Forrest,Thomas Woolf,postdoc
Lucy Forrest,John Walker,postdoc
Lucy Forrest,Barry Honig,postdoc
Gregory Ross,Phil Biggin,PhD
Gregory Ross,Jonathan Essex,postdoc
Gregory Ross,John Chodera,postdoc
Gregory Ross,Robert Abel,link
Richard Bradshaw,Jonathan Essex,postdoc
Richard Bradshaw,Lucy Forrest,postdoc
Patrick Grinaway,John Chodera,PhD
Levi Naden,Michael Shirts,PhD
Levi Naden,John Chodera,postdoc
Sonya Hanson,Mark Sansom,PhD
Sonya Hanson,John Chodera,postdoc
Sonya Hanson,Joachim Frank,postdoc
Daniel Parton,Mark Sansom,PhD
Daniel Parton,John Chodera,postdoc
Kyle Beauchamp,Vijay Pande,PhD
Kyle Beauchamp,John Chodera,postdoc
Matteo Aldeghi,Phil Biggin,PhD
Matteo Aldeghi,Bert de Groot,postdoc
Antonia Mey,Julien Michel,postdoc
Christopher Woods,Jonathan Essex,PhD
Christopher Woods,Adrian Mulholland,postdoc
Adrian Mulholland,Graham Richards,PhD
Adrian Mulholland,Martin Karplus,postdoc
Steven Albanese,John Chodera,PhD
Steven Albanese,Robert Abel,link
Graham Worth,Graham Richards,PhD
Graham Worth,Rebecca Wade,postdoc
Graham Worth,Lenz Cederbaum,postdoc
Christopher Cave-Ayland,Jonathan Essex,PhD
David Huggins,Graham Richards,PhD
David Huggins,Bruce Tidor,postdoc
Bruce Tidor,Martin Karplus,PhD
Michael Gilson,Andrew McCammon,postdoc
Michael Gilson,Barry Honig,PhD
Daniel Cole,Mike Payne,PhD
Daniel Cole,William Jorgensen,postdoc
Robert Abel,Richard Friesner,PhD
Andrew McCammon,John Deutch,PhD
Andrew McCammon,Martin Karplus,postdoc
Arieh Warshel,Shneior Lifson,PhD
Arieh Warshel,Martin Karplus,postdoc
Lynn Kamerlin,John Wilkie,PhD
Lynn Kamerlin,Stefan Boresch,postdoc
Lynn Kamerlin,Arieh Warshel,postdoc
Edina Rosta,Arieh Warshel,PhD
Edina Rosta,Gerhard Hummer,postdoc
Robert Rizzo,William Jorgensen,PhD
Jiaye Guo,Robert Rizzo,PhD
Jiaye Guo,John Chodera,postdoc
Ana Silviera,John Chodera,postdoc
Fiona Naughton,Mark Sansom,PhD
Fiona Naughton,Oliver Beckstein,postdoc
Oliver Beckstein,Mark Sansom,PhD
Zoe Cournia,Jeremy Smith,PhD
Zoe Cournia,William Jorgensen,postdoc
Marc van der Kamp,Adrian Mulholland,PhD
Marc van der Kamp,Valerie Daggett,postdoc
Marc van der Kamp,Adrian Mulholland,postdoc
Davide Provasi,Marta Filizola,postdoc
Evan Feinberg,Vijay Pande,PhD
Muneeb Sultan,Vijay Pande,PhD
